repo,default_branch,stars,forks,domain,language,last_update,is_fork,selected,activity_level,loc
intel/tiny-tensor-compiler,main,19,2,hpc,C++,2025-11-13T09:11:03Z,False,,Low,27178
xmrig/xmrig,master,9584,3737,other,C,2025-11-13T08:52:43Z,False,,High,113691
openharmony/third_party_opencl-headers,master,0,0,other,C,2025-11-13T03:56:23Z,False,,Low,6794
yankailab/OpenKAI,master,249,95,computer_vision,C,2025-11-12T12:42:57Z,False,,High,195184
AxisCommunications/acap-native-sdk-examples,main,64,35,computer_vision,C,2025-11-11T13:32:44Z,False,,Medium,7535
revyos-package/intel-compute-runtime,master,0,0,other,C++,2025-11-09T12:33:37Z,False,,Low,794151
10gic/vanitygen-plusplus,master,378,134,other,C,2025-11-09T06:35:04Z,False,,High,8298
primesearch/mfakto,master,7,9,other,C,2025-11-08T23:11:50Z,False,,Low,51069
doe300/VC4C,master,119,38,hpc,C,2025-11-08T09:50:50Z,False,,High,363897
bit-admin/AutoSlides-Extractor,main,2,0,computer_vision,C++,2025-11-07T04:44:28Z,False,,Low,6813
kpet/clvk,main,413,46,other,C++,2025-11-07T02:08:08Z,False,,High,14258
KhronosGroup/OpenCL-CTS,main,218,220,other,C++,2025-11-06T22:34:53Z,False,,High,196685
sfegan/dft_simd,main,8,1,hpc,C++,2025-11-06T09:40:53Z,False,,Low,46109
NicolasFlamel1/Cuckatoo-Reference-Miner,master,2,2,other,C++,2025-11-05T23:26:27Z,False,,Low,51965
BIMSBbioinfo/PocketVina,main,67,9,computer_vision,C++,2025-11-04T14:53:17Z,False,,Medium,22389
Coresi7/PCIESpeedTester,master,0,0,other,C++,2025-11-03T05:30:03Z,False,,Low,284
intel/pti-gpu,master,249,63,computer_vision,C++,2025-11-13T01:35:32Z,False,,High,53058
intel/cassian,main,2,5,other,C++,2025-10-31T19:08:21Z,False,,Low,31118
AllanElleuch/build-libraries-for-llama_cpp_dart,main,0,0,other,C++,2025-10-31T16:37:24Z,False,,Low,154400
auroralabs-loci/llamacpp,main,0,0,other,C++,2025-10-29T13:42:06Z,False,,Low,152174
vatupelage/BitCrack-Updated,main,0,0,other,C++,2025-10-28T13:42:49Z,False,,Low,3427
microstack-tech/hashwarp,main,3,0,other,C++,2025-10-28T09:27:44Z,False,,Low,11558
tpoechtrager/gpu-pcie-bench,master,0,1,other,C++,2025-10-24T09:57:21Z,False,,Low,24663
SegusFaultise/qcs,master,0,0,hpc,C,2025-10-23T17:47:18Z,False,,Low,1590
KhronosGroup/OpenCL-ICD-Loader,main,279,160,other,C,2025-10-23T16:44:35Z,False,,High,10658
XpuOS/xsched,main,133,13,other,C,2025-10-23T10:43:46Z,False,,High,136573
ChanwooCho/llama.cpp-asplos,master,0,0,other,C++,2025-10-22T11:53:43Z,False,,Low,143717
Oabraham1/chronos,main,24,2,other,C++,2025-10-22T05:16:33Z,False,,Medium,2735
zhangzheyuanviolin-ship-it/mnnllm-android-baseline,build-baseline,0,0,other,C++,2025-10-22T03:36:02Z,False,,Low,1606234
SC-SGS/PLSSVM,main,37,12,hpc,C++,2025-10-18T18:11:51Z,False,,Medium,26551
libocca/occa,main,432,90,hpc,C++,2025-11-07T20:55:38Z,False,,High,36560
DjentleViBe/PIRO,main,2,0,hpc,C++,2025-10-17T01:05:29Z,False,,Low,3303
sanguinariojoe/aquagpusph,master,39,15,other,C++,2025-10-28T14:29:56Z,False,,Medium,2126351
JETSCAPE/X-SCAPE,main,2,2,other,C++,2025-11-03T21:50:43Z,False,,Low,107288
KhronosGroup/OpenCL-Headers,main,738,268,other,C,2025-10-14T17:01:08Z,False,,High,6549
eunomia-bpf/llvmbpf,main,117,12,hpc,C++,2025-10-13T22:17:43Z,False,,High,3046
XZiar/RayRenderer,master,23,4,other,C++,2025-10-13T21:14:41Z,False,,Medium,89322
TheRealOrange/terminalvideoplayer,main,293,10,computer_vision,C++,2025-10-11T03:40:10Z,False,,High,1699
uos/lvr2,main,144,20,computer_vision,C++,2025-10-10T13:11:26Z,False,,High,122322
erfan-ops/VideoEditorBeta,master,0,1,computer_vision,C++,2025-10-09T21:35:02Z,False,,Low,5626
bashbaug/SimpleOpenCLSamples,main,116,27,other,C++,2025-11-13T18:14:46Z,False,,High,10487
eglookz/llama.cpp,master,0,0,other,C++,2025-11-08T12:52:37Z,False,,Low,147271
THU-DSP-LAB/Ventus-OpenCL-Testcase,main,2,0,other,C++,2025-10-09T13:15:58Z,False,,Low,6763
CornePersonal/BitCrack,master,0,2,other,C++,2025-10-09T09:02:15Z,False,,Low,4250
tactcomplabs/circustent,main,16,10,hpc,C++,2025-10-07T15:16:46Z,False,,Low,4144
KhronosGroup/OpenCL-CLHPP,main,405,134,other,C++,2025-10-06T16:39:02Z,False,,High,8762
eunomia-bpf/XDP-on-GPU,main,11,1,other,C++,2025-10-05T21:04:29Z,False,,Low,3804
luxyd-technologies/luxyd_llama.cpp,luxyd,0,0,other,C++,2025-09-28T15:38:18Z,False,,Low,161649
GollyGang/ready,gh-pages,807,62,other,C++,2025-09-27T19:23:19Z,False,,High,15056
insidious-src/CPPUAL,master,4,0,other,C++,2025-09-26T15:40:52Z,False,,Low,81452
CNugteren/CLBlast,master,1156,209,other,C++,2025-09-26T07:14:20Z,False,,High,69492
os-fpga/1st-CLaaS,master,208,46,other,C,2025-09-23T19:28:28Z,False,,High,6748
ccsb-scripps/AutoDock-GPU,develop,533,136,hpc,C++,2025-09-23T19:10:13Z,False,,High,28678
KhronosGroup/OpenCL-TTL,main,38,5,other,C,2025-09-23T14:56:05Z,False,,Medium,5782
HopperLogger/HopperRender,master,14,1,computer_vision,C++,2025-09-21T15:44:01Z,False,,Low,19159
galloty/marin,main,1,3,other,C,2025-09-21T09:54:16Z,False,,Low,5893
pjekenrico/MirrorBoundaryOpenCL,master,0,0,computer_vision,C++,2025-09-20T08:51:20Z,False,,Low,145
ajou-aisa/llama.cpp-gemmini,main,0,0,other,C++,2025-11-15T10:33:00Z,False,,Low,154060
Fahlevi20/llama.cpp,main,0,0,other,C++,2025-11-16T09:29:49Z,False,,Low,120985
OCL-dev/ocl-icd,master,86,23,other,C,2025-11-10T19:36:59Z,False,,Medium,6339
david3x3x3/eternity2,master,6,1,other,C,2025-09-17T22:35:49Z,False,,Low,17739
PhicoinProject/phihashminer_v2,main,0,1,other,C++,2025-09-17T06:30:52Z,False,,Low,18700
jIab-b/sd,master,0,0,other,C++,2025-09-16T12:15:13Z,False,,Low,1349064
llv22/llama.cpp_forward,develop,0,0,other,C++,2025-09-15T19:13:49Z,False,,Low,99748
kqdlx3/20250803_llama.cpp,master,0,0,other,C++,2025-09-15T16:22:28Z,False,,Low,151798
Postrediori/NeuralField,master,3,1,hpc,C++,2025-09-14T01:20:40Z,False,,Low,1780
