repo,default_branch,stars,forks,domain,language,last_update,is_fork,selected,activity_level,loc,build_status,tool_status,exclusion_reason,location,node
carlesfernandez/gnss-sdr,next,54,20,hpc,C++,2025-11-14T11:05:22Z,False,1,Medium,212758,not_attempted,not_attempted,,,
gnss-sdr/gnss-sdr,main,1948,665,hpc,C++,2025-11-14T11:05:17Z,False,1,High,219705,not_attempted,not_attempted,,,
JustZhenya/SatDump-fork,master,0,0,other,C++,2025-11-13T23:35:15Z,False,1,Low,348918,not_attempted,not_attempted,,,
mmarzolla/parallel-etudes,main,1,1,hpc,C,2025-11-13T21:43:14Z,False,1,Low,11714,not_attempted,not_attempted,,,
ROCm/MIVisionX,develop,203,83,computer_vision,C++,2025-11-13T21:10:42Z,False,1,High,238929,not_attempted,not_attempted,,,
MaggotHATE/Llama_chat,main,15,0,other,C++,2025-11-13T20:15:49Z,False,1,Low,241640,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
a2flo/floor,master,337,23,hpc,C++,2025-11-13T18:40:12Z,False,1,High,51569,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
ROCm/rpp,develop,68,48,computer_vision,C++,2025-11-14T00:41:09Z,False,1,Medium,1139015,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
FAST-Imaging/FAST,master,490,108,ml,C++,2025-11-13T10:28:08Z,False,1,High,52647,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
openharmony/third_party_opencl-headers,master,0,0,other,C,2025-11-13T03:56:23Z,False,1,Low,6794,not_attempted,not_attempted,,,
yankailab/OpenKAI,master,249,95,computer_vision,C,2025-11-12T12:42:57Z,False,1,High,195184,not_attempted,not_attempted,,,
AxisCommunications/acap-native-sdk-examples,main,64,35,computer_vision,C,2025-11-11T13:32:44Z,False,1,Medium,7535,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
doe300/VC4C,master,119,38,hpc,C,2025-11-08T09:50:50Z,False,1,High,363897,not_attempted,not_attempted,,,
bit-admin/AutoSlides-Extractor,main,2,0,computer_vision,C++,2025-11-07T04:44:28Z,False,1,Low,6813,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BIMSBbioinfo/PocketVina,main,67,9,computer_vision,C++,2025-11-04T14:53:17Z,False,1,Medium,22389,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
intel/pti-gpu,master,249,63,computer_vision,C++,2025-11-13T01:35:32Z,False,1,High,53058,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SC-SGS/PLSSVM,main,37,12,hpc,C++,2025-10-18T18:11:51Z,False,1,Medium,26551,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
eunomia-bpf/llvmbpf,main,117,12,hpc,C++,2025-10-13T22:17:43Z,False,1,High,3046,not_attempted,not_attempted,,,
XZiar/RayRenderer,master,23,4,other,C++,2025-10-13T21:14:41Z,False,1,Medium,89322,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
uos/lvr2,main,144,20,computer_vision,C++,2025-10-10T13:11:26Z,False,1,High,122322,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
tactcomplabs/circustent,main,16,10,hpc,C++,2025-10-07T15:16:46Z,False,1,Low,4144,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
insidious-src/CPPUAL,master,4,0,other,C++,2025-09-26T15:40:52Z,False,1,Low,81452,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ccsb-scripps/AutoDock-GPU,develop,533,136,hpc,C++,2025-09-23T19:10:13Z,False,1,High,28678,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
HopperLogger/HopperRender,master,14,1,computer_vision,C++,2025-09-21T15:44:01Z,False,1,Low,19159,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
pjekenrico/MirrorBoundaryOpenCL,master,0,0,computer_vision,C++,2025-09-20T08:51:20Z,False,1,Low,145,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
OCL-dev/ocl-icd,master,86,23,other,C,2025-11-10T19:36:59Z,False,1,Medium,6339,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Alex-0274/Dijkstra_OpenCL_implementation,main,1,0,hpc,C,2025-09-12T20:08:25Z,False,1,Low,375,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
msft-mirror-aosp/platform.external.OpenCL-CTS,android11-d1-b-release,0,0,other,C++,2025-11-13T01:05:03Z,False,1,Low,193845,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Milkyway-at-home/milkywayathome_client,master,49,29,other,C,2025-11-14T23:30:36Z,False,1,Medium,209493,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
OpenVisualCloud/Video-Super-Resolution-Library,main,76,13,computer_vision,C++,2025-09-05T05:28:05Z,False,1,Medium,3548,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KhronosGroup/OpenCL-SDK,main,711,152,other,C++,2025-09-02T17:33:51Z,False,1,High,3859,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Suyashpanchal07/Ethminer,main,0,0,other,C++,2025-08-31T08:40:10Z,False,1,Low,11294,not_attempted,not_attempted,,,
silviaralcaraz/syclomatic-eval,main,0,0,other,C,2025-08-30T15:59:55Z,False,1,Low,132875,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
tugrul512bit/libGPGPU,master,11,3,hpc,C++,2025-08-27T13:16:25Z,False,1,Low,10522,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AxisCommunications/acap3-examples,main,60,19,computer_vision,C,2025-08-19T01:23:15Z,False,1,Medium,4363,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ReeceT28/RayBox---Optics-Simulation-Tool,main,2,0,hpc,C++,2025-08-10T12:42:48Z,False,1,Low,53963,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
Joewus12345/Model-Tests,master,0,0,ml,C++,2025-08-08T11:24:47Z,False,1,Low,153395,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LiamMohler/OpenCL-CNN-Forward-Pass-Kernel,main,0,0,hpc,C++,2025-08-05T21:39:16Z,False,1,Low,87437,not_attempted,not_attempted,,,
VOCOM/Kizuna-Project,main,0,0,other,C,2025-08-05T21:33:04Z,False,1,Low,273080,not_attempted,not_attempted,,,
roahmlab/sel_map,main,143,12,computer_vision,C++,2025-08-05T02:30:56Z,False,1,High,4836,not_attempted,not_attempted,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
tim42/tools,master,3,1,other,C++,2025-07-30T01:34:25Z,False,1,Low,12901,not_attempted,not_attempted,,,
